train_loss,val_loss,train_box_loss,train_cls_loss,val_box_loss,val_cls_loss,lr,epoch_time,val_map50,val_precision,val_recall
1.6055484593380243e-05,1.5995847206795588e-05,7.4541676440276206e-06,8.601316949352622e-06,7.2074922172760125e-06,8.788355444266926e-06,9.157348061512727e-05,122.41134643554688,0.5,0.5,0.5
1.5989768144208938e-05,1.5802950656507164e-05,7.210459443740547e-06,8.779308700468391e-06,7.177098268584814e-06,8.625853297417052e-06,9.045084971874738e-05,116.78702187538147,0.5,0.5,0.5
1.5730956874904223e-05,1.581826654728502e-05,7.123598152247723e-06,8.6073587226565e-06,7.095358341757674e-06,8.722909115022048e-06,8.926584654403724e-05,118.56893801689148,0.5,0.5,0.5
1.578813862579409e-05,1.5136416550376453e-05,7.1263607424043585e-06,8.661777428642381e-06,6.992177532083588e-06,8.144238563545514e-06,8.802029828000156e-05,121.23186206817627,0.5,0.5,0.5
1.5150504623306915e-05,1.4644255315943155e-05,6.9958791755198035e-06,8.15462499303976e-06,6.831434802734293e-06,7.812820513208862e-06,8.671612547178428e-05,111.56309342384338,0.5,0.5,0.5
1.4677567378384992e-05,1.4433522665058263e-05,6.84213409840595e-06,7.835433279979043e-06,6.7005712480749935e-06,7.73295141698327e-06,8.535533905932738e-05,123.01717472076416,0.5,0.5,0.5
1.447323666070588e-05,1.4295613254944328e-05,6.717324595229002e-06,7.755912520224229e-06,6.635470526816789e-06,7.66014272812754e-06,8.39400372766471e-05,111.95168995857239,0.5,0.5,0.5
1.4317220120574348e-05,1.438587969460059e-05,6.6739762587531e-06,7.643243407073896e-06,6.6407797021383885e-06,7.745100447209552e-06,8.247240241650919e-05,108.0815327167511,0.5,0.5,0.5
1.4376591934706084e-05,1.3989894796395674e-05,6.625720288866432e-06,7.750871191092301e-06,6.46710259388783e-06,7.522791747760493e-06,8.09546974654917e-05,111.40489983558655,0.5,0.5,0.5
1.4108125469647348e-05,1.3839769053447526e-05,6.506224508484593e-06,7.601900961162755e-06,6.428082997445017e-06,7.411686056002509e-06,7.938926261462366e-05,111.64515566825867,0.5,0.5,0.5
1.3782540008833166e-05,1.340873131994158e-05,6.385505457728868e-06,7.397034551104298e-06,6.313968242466217e-06,7.0947626227280125e-06,7.777851165098012e-05,122.7873101234436,0.5,0.5,0.5
1.3435834262054414e-05,1.3444601790979505e-05,6.291969839367084e-06,7.143864422687329e-06,6.345679139485583e-06,7.098923106241273e-06,7.612492823579745e-05,110.92176103591919,0.5,0.5,0.5
1.3243052308098413e-05,1.327369682257995e-05,6.2260410231829155e-06,7.0170112849154975e-06,6.194183242769213e-06,7.079513579810737e-06,7.443106207484776e-05,117.39939308166504,0.5,0.5,0.5
1.3253888027975336e-05,1.3067803593003191e-05,6.192610271682497e-06,7.061277756292839e-06,6.084070719225565e-06,6.983733328524977e-06,7.269952498697734e-05,109.46791791915894,0.5,0.5,0.5
1.3031900380156003e-05,1.2855258319177665e-05,6.053285233065253e-06,6.978614692343399e-06,6.023834885127144e-06,6.831423888797872e-06,7.09329868768714e-05,109.64485311508179,0.5,0.5,0.5
1.2818540199077688e-05,1.2579976100823842e-05,5.988225893815979e-06,6.83031476000906e-06,5.928403425059514e-06,6.651573130511679e-06,6.91341716182545e-05,109.58278846740723,0.5,0.5,0.5
